timestamp,value,5s_change,1m_change,10m_change,1h_change,3h_change,6h_change
2025-06-13 04:45:04,66.08,,,61.94%,32.76%,45.17%,-4.09%
2025-06-13 04:46:14,66.06,,,-9.8%,-28.17%,61.97%,61%
2025-06-13 04:47:18,66.04,,,34.27%,7.8%,-32.4%,-22.67%
2025-06-13 04:48:04,66.02,,,-32.33%,21.45%,36.86%,14.74%
2025-06-13 04:49:11,66.0,,,-9.45%,-14.7%,3.18%,-27.22%
2025-06-13 05:49:45,66.89,,,36.99%,19.58%,-6.68%,35.4%
2025-06-13 05:50:12,66.92,,,-16.95%,8.83%,-2.36%,36.85%
2025-06-13 05:51:15,66.9,,,45.96%,22.2%,-8.97%,-17.12%
2025-06-13 06:06:47,67.19,,,-11.87%,-30.4%,52.19%,-20.63%
2025-06-13 06:07:06,67.21,,,34.5%,41.08%,53.97%,63.75%
2025-06-13 06:08:14,67.24,,,3.85%,-18.97%,33.91%,19.47%
2025-06-13 06:09:22,67.23,,,15.96%,6.92%,19.58%,-8.5%
2025-06-13 06:11:14,67.25,,,53.5%,-28.29%,-12.34%,51.12%
2025-06-13 06:12:22,67.3,,,-16.34%,-23.69%,-2.02%,51.99%
2025-06-13 06:13:08,67.33,,,-10.44%,12.69%,-32.02%,39.88%
2025-06-13 06:14:16,67.32,,,59.74%,36.06%,41.35%,33.5%
2025-06-13 06:15:27,67.31,,,-31.44%,14.52%,20.66%,-22.53%
2025-06-13 06:16:08,67.33,,,-18.42%,46.13%,-17.84%,40.05%
2025-06-13 06:17:16,67.34,,,33.11%,55.04%,3.76%,41.04%
2025-06-13 06:18:24,67.33,,,21.42%,-21.72%,-23.41%,33%
2025-06-13 06:19:09,67.35,,,12.3%,-4.03%,-2.9%,-16.48%
2025-06-13 06:20:17,67.37,,,13.39%,-9.26%,18.2%,26.14%
2025-06-13 06:21:24,67.42,,,23.88%,1.1%,53.17%,31.07%
2025-06-13 06:22:11,67.45,,,15.41%,54.17%,26.98%,59.79%
2025-06-13 06:23:18,67.46,,,10.54%,48.28%,11.25%,36.35%
2025-06-13 06:24:04,67.48,,,-1.34%,17.07%,-30.18%,31.66%
2025-06-13 06:25:11,67.49,,,-2.27%,-15.56%,-20.6%,49.75%
2025-06-13 06:26:19,67.47,,,20.04%,10.66%,14.38%,45.07%
2025-06-13 06:27:04,67.45,,,-27.45%,58.15%,56.26%,21.72%
2025-06-13 06:28:12,67.43,,,-23.55%,1.49%,-9.53%,-4.1%
2025-06-13 06:29:20,67.41,,,53.46%,3.27%,34.33%,45.37%
2025-06-13 06:30:06,67.39,,,7.68%,-27.12%,-9.33%,39.34%
2025-06-13 06:31:10,67.37,,,61.41%,7.66%,20.7%,28.82%
2025-06-13 06:32:19,67.35,,,-12.19%,65.56%,52.58%,20.17%
2025-06-13 06:33:04,67.33,,,60.33%,-14.8%,-8.2%,49.57%
2025-06-13 06:34:12,67.31,,,-16.07%,-26.69%,38.85%,-4.32%
2025-06-13 06:35:20,67.29,,,26.5%,6.63%,36.77%,33.68%
2025-06-13 06:36:06,67.27,,,60.52%,48.78%,-8.02%,-28.02%
2025-06-13 06:37:13,67.25,,,52.81%,-14.13%,-18.93%,-28.59%
2025-06-13 06:38:21,67.23,,,18.82%,1.25%,-20.34%,13.41%
2025-06-13 06:39:07,67.21,,,-8.45%,-23.65%,7%,41.11%
2025-06-13 06:40:15,67.22,,,-17.64%,-7.7%,-19.34%,5.63%
2025-06-13 06:41:23,67.26,,,28.42%,46.53%,54.4%,11.27%
2025-06-13 06:42:09,67.29,,,24.56%,-19.95%,10.12%,64.91%
2025-06-13 06:43:16,67.32,,,31.49%,-27.52%,-26.7%,59.53%
2025-06-13 06:44:24,67.35,,,43.5%,28.76%,51.7%,55.61%
2025-06-13 06:45:09,67.39,,,28.7%,30.14%,-4.67%,4.23%
2025-06-13 06:46:17,67.37,,,-9.35%,-17.65%,26.68%,54.2%
2025-06-13 06:47:24,67.35,,,43.49%,-27.72%,32.91%,42.61%
2025-06-13 06:48:10,67.33,,,20.04%,-7.68%,56.45%,35.13%
2025-06-13 06:49:17,67.31,,,44.76%,59.49%,55.73%,61.02%
2025-06-13 06:50:05,67.35,,,-25.46%,-5.09%,65.92%,-9.06%
2025-06-13 06:51:09,67.36,,,14.83%,35.78%,20.08%,5.45%
2025-06-13 06:52:20,67.39,,,-28.08%,12.29%,23.27%,59.89%
2025-06-13 07:55:09,68.34,,,0.35%,7.3%,46.13%,24.76%
2025-06-13 07:56:18,68.39,,,-29.5%,59.79%,-23.8%,-24.44%
2025-06-13 08:02:15,68.6,,,58.05%,-29.91%,41.28%,9.38%
2025-06-13 08:03:23,68.63,,,21.63%,-20.15%,-29.07%,40.4%
2025-06-13 08:04:05,68.65,,,17.42%,56.24%,42.06%,-12.09%
2025-06-13 08:05:14,68.67,,,-19.44%,19.71%,5.12%,45.11%
2025-06-13 08:06:19,68.72,,,-24.78%,13.42%,-7.58%,-24.78%
2025-06-13 08:07:07,68.74,,,-8.4%,-8.97%,-13.25%,45.97%
2025-06-13 08:08:11,68.77,,,-2.06%,-14.26%,40.09%,20.1%
2025-06-13 08:09:19,68.78,,,-27%,36.55%,66.38%,3.87%
2025-06-13 08:10:05,68.81,,,-10.82%,-29.27%,-7.28%,-25.11%
2025-06-13 08:11:13,68.85,,,67.05%,34.29%,18.53%,-29.61%
