timestamp,value,5s_change,1m_change,10m_change,1h_change,3h_change,6h_change
2025-06-12 19:06:06,37.8,,,3.52%,-10.69%,-42.89%,-2.69%
2025-06-12 19:07:14,37.82,,,-30.46%,28.36%,23.38%,-22.21%
2025-06-12 19:08:24,37.84,,,-25.7%,24.62%,-34.47%,-17.41%
2025-06-12 19:09:05,37.87,,,-48.38%,-13.45%,-27.96%,14.16%
2025-06-12 19:10:13,37.91,,,-17.31%,-35.19%,-50.67%,-7.89%
2025-06-12 19:11:21,37.94,,,-20.89%,24.41%,-45.89%,0.43%
2025-06-12 19:12:06,37.96,,,5.98%,-35.56%,6.69%,-2.02%
2025-06-12 19:13:15,37.96,,,-25.51%,-50.1%,-42.66%,27.29%
2025-06-12 19:14:22,37.98,,,-20.23%,-46.29%,1.08%,32.3%
2025-06-12 19:15:08,38.02,,,-27.77%,9.52%,-28.23%,-30.65%
2025-06-12 19:16:16,38.05,,,-12.03%,-50.34%,-6.83%,-59.21%
2025-06-12 19:17:20,38.1,,,37.65%,-24.08%,-23.45%,1.82%
2025-06-12 19:18:06,38.13,,,37.44%,-11.11%,33.69%,-42.65%
2025-06-12 19:19:17,38.17,,,-23.02%,-44.29%,26.36%,10.18%
2025-06-12 19:20:20,38.2,,,4.56%,-29.02%,-2.95%,14.75%
2025-06-12 19:21:06,38.23,,,27.37%,31.55%,-51.09%,21.71%
2025-06-12 19:22:14,38.28,,,32.09%,36.11%,22.89%,37.17%
2025-06-12 21:55:46,38.54,,,-10.89%,-44.8%,2.03%,-4.06%
2025-06-12 21:56:09,38.59,,,7.45%,-11.18%,-24.6%,-24.8%
2025-06-12 21:57:22,38.62,,,-23.93%,-6.23%,9.08%,34.99%
2025-06-12 21:58:03,38.66,,,-9.7%,-37.47%,-37%,-44.43%
2025-06-12 21:59:11,38.69,,,34.82%,-60.27%,-35.9%,-10.05%
2025-06-12 22:00:20,38.73,,,-5.07%,-41.59%,-5.22%,-33.83%
2025-06-12 22:01:05,38.75,,,-9.36%,-20.51%,27.46%,-54.01%
2025-06-12 22:02:13,38.77,,,-11.5%,28.54%,1.16%,-38.54%
2025-06-12 22:03:21,38.78,,,-52.73%,-3.73%,24.77%,-48.73%
2025-06-12 22:04:07,38.79,,,34.72%,0.31%,-24.1%,-52.42%
2025-06-13 00:30:26,38.77,,,-28.4%,18.25%,-2.43%,-45.61%
2025-06-13 00:31:12,38.81,,,-6.49%,-18.55%,34.12%,-21.96%
2025-06-13 00:32:20,38.82,,,-18.4%,-41.98%,16.59%,-40.8%
2025-06-13 00:33:06,38.86,,,12.28%,21.4%,-30.17%,-19.93%
2025-06-13 00:34:14,38.9,,,-9.04%,-8.57%,6.52%,-43.21%
2025-06-13 00:35:24,38.88,,,-15.26%,29.1%,-25.47%,7.23%
2025-06-13 00:36:10,38.86,,,-51.82%,-53.93%,-3.53%,-51.65%
2025-06-13 00:37:14,38.84,,,-43.03%,36.86%,-5.66%,-0.18%
2025-06-13 00:38:22,38.82,,,14.05%,5.95%,-11.97%,18%
2025-06-13 00:39:10,38.8,,,-47.33%,-23.34%,30.37%,-48.61%
2025-06-13 00:40:10,38.78,,,-7.2%,-19.92%,27.46%,36.57%
2025-06-13 00:41:21,38.77,,,-20.43%,-43.62%,32.83%,-54.61%
